Log Started on 10-Mar-2018

Adding Noise
Optimizing for pentagon_speckle_and_gauss_markov_high_optimal
Running polya filter for radius = 1, bins = 32, delta = 20.
Initial MSE: 2859.1724
Iteration 18 of 50 | Duration = 2.561 | MSE = 1356.2238
Iteration 19 of 50 | Duration = 2.544 | MSE = 1354.7129
Iteration 20 of 50 | Duration = 2.602 | MSE = 1353.5444
Iteration 21 of 50 | Duration = 2.646 | MSE = 1351.7958
Iteration 22 of 50 | Duration = 2.696 | MSE = 1348.7194
Iteration 23 of 50 | Duration = 2.685 | MSE = 1343.1164
Iteration 24 of 50 | Duration = 2.709 | MSE = 1340.4929
Iteration 25 of 50 | Duration = 2.726 | MSE = 1338.9519
Iteration 26 of 50 | Duration = 2.728 | MSE = 1336.2543
Iteration 27 of 50 | Duration = 2.609 | MSE = 1330.9440
Iteration 28 of 50 | Duration = 2.601 | MSE = 1327.5982
Iteration 29 of 50 | Duration = 2.583 | MSE = 1319.2200
Iteration 30 of 50 | Duration = 2.585 | MSE = 1311.7615
Iteration 31 of 50 | Duration = 2.582 | MSE = 1307.6766
Iteration 32 of 50 | Duration = 2.583 | MSE = 1306.3830
Iteration 33 of 50 | Duration = 2.611 | MSE = 1305.6327
Iteration 34 of 50 | Duration = 2.547 | MSE = 1304.9935
Iteration 35 of 50 | Duration = 2.677 | MSE = 1304.2809
Iteration 36 of 50 | Duration = 2.747 | MSE = 1303.7910
New optimal MSE: 1303.7910

Running polya filter for radius = 1, bins = 32, delta = 120.
Initial MSE: 2859.1724
Iteration 1 of 50 | Duration = 3.531 | MSE = 1808.3350
Iteration 2 of 50 | Duration = 3.553 | MSE = 1687.6860
Iteration 3 of 50 | Duration = 2.643 | MSE = 1508.4347
Iteration 4 of 50 | Duration = 2.603 | MSE = 1498.1699
Iteration 5 of 50 | Duration = 2.777 | MSE = 1467.7117
Iteration 6 of 50 | Duration = 2.705 | MSE = 1431.5214
Iteration 7 of 50 | Duration = 2.608 | MSE = 1392.4074
Iteration 8 of 50 | Duration = 2.542 | MSE = 1388.5461
Iteration 9 of 50 | Duration = 2.616 | MSE = 1383.6245
Iteration 10 of 50 | Duration = 2.589 | MSE = 1379.6418
Iteration 11 of 50 | Duration = 2.735 | MSE = 1369.4519
Iteration 12 of 50 | Duration = 2.716 | MSE = 1362.8758
Iteration 13 of 50 | Duration = 2.771 | MSE = 1353.7864
Iteration 14 of 50 | Duration = 2.773 | MSE = 1340.9671
Iteration 15 of 50 | Duration = 2.695 | MSE = 1322.5557
Iteration 16 of 50 | Duration = 2.561 | MSE = 1321.2354
Iteration 17 of 50 | Duration = 2.626 | MSE = 1319.6770
Iteration 18 of 50 | Duration = 2.589 | MSE = 1318.1207
Iteration 19 of 50 | Duration = 2.590 | MSE = 1316.4636
Iteration 20 of 50 | Duration = 2.602 | MSE = 1315.5095
Iteration 21 of 50 | Duration = 2.600 | MSE = 1314.5121
Iteration 22 of 50 | Duration = 2.605 | MSE = 1313.2225
Iteration 23 of 50 | Duration = 2.624 | MSE = 1308.7445
Iteration 24 of 50 | Duration = 2.795 | MSE = 1305.7491
Iteration 25 of 50 | Duration = 2.772 | MSE = 1304.7068
Iteration 26 of 50 | Duration = 2.756 | MSE = 1303.0688
Iteration 27 of 50 | Duration = 2.768 | MSE = 1299.9142
Iteration 28 of 50 | Duration = 2.695 | MSE = 1297.1853
Iteration 29 of 50 | Duration = 2.632 | MSE = 1293.6817
Iteration 30 of 50 | Duration = 2.586 | MSE = 1287.0312
Iteration 31 of 50 | Duration = 2.594 | MSE = 1277.2321
Iteration 32 of 50 | Duration = 2.582 | MSE = 1276.4316
Iteration 33 of 50 | Duration = 2.569 | MSE = 1275.9376
New optimal MSE: 1275.9376

Running polya filter for radius = 1, bins = 32, delta = 140.
Initial MSE: 2859.1724
Iteration 1 of 50 | Duration = 3.363 | MSE = 1808.3350
Iteration 2 of 50 | Duration = 3.387 | MSE = 1687.6860
Iteration 3 of 50 | Duration = 2.861 | MSE = 1508.4534
Iteration 4 of 50 | Duration = 2.802 | MSE = 1498.1245
Iteration 5 of 50 | Duration = 2.884 | MSE = 1467.7093
Iteration 6 of 50 | Duration = 2.881 | MSE = 1431.4962
Iteration 7 of 50 | Duration = 2.695 | MSE = 1392.3607
Iteration 8 of 50 | Duration = 2.551 | MSE = 1388.5033
Iteration 9 of 50 | Duration = 2.556 | MSE = 1383.5713
Iteration 10 of 50 | Duration = 2.587 | MSE = 1379.5856
Iteration 11 of 50 | Duration = 2.622 | MSE = 1369.4224
Iteration 12 of 50 | Duration = 2.640 | MSE = 1362.8248
Iteration 13 of 50 | Duration = 2.626 | MSE = 1353.7561
Iteration 14 of 50 | Duration = 2.633 | MSE = 1340.9480
Iteration 15 of 50 | Duration = 2.665 | MSE = 1322.5377
Iteration 16 of 50 | Duration = 2.668 | MSE = 1321.2127
Iteration 17 of 50 | Duration = 2.813 | MSE = 1319.6458
Iteration 18 of 50 | Duration = 2.756 | MSE = 1318.0808
Iteration 19 of 50 | Duration = 2.703 | MSE = 1316.4232
Iteration 20 of 50 | Duration = 2.648 | MSE = 1315.4579
Iteration 21 of 50 | Duration = 2.595 | MSE = 1314.4651
Iteration 22 of 50 | Duration = 2.595 | MSE = 1313.1861
Iteration 23 of 50 | Duration = 2.595 | MSE = 1308.7223
Iteration 24 of 50 | Duration = 2.577 | MSE = 1305.7283
Iteration 25 of 50 | Duration = 2.597 | MSE = 1304.6823
Iteration 26 of 50 | Duration = 2.591 | MSE = 1303.0432
Iteration 27 of 50 | Duration = 2.614 | MSE = 1299.8939
Iteration 28 of 50 | Duration = 2.701 | MSE = 1297.1688
Iteration 29 of 50 | Duration = 2.703 | MSE = 1293.6679
Iteration 30 of 50 | Duration = 2.770 | MSE = 1287.0201
Iteration 31 of 50 | Duration = 2.721 | MSE = 1277.2297
Iteration 32 of 50 | Duration = 2.797 | MSE = 1276.4270
Iteration 33 of 50 | Duration = 2.600 | MSE = 1275.9268
Iteration 34 of 50 | Duration = 2.560 | MSE = 1275.2311
Iteration 35 of 50 | Duration = 2.560 | MSE = 1274.6505
Iteration 36 of 50 | Duration = 2.699 | MSE = 1274.1241
Iteration 37 of 50 | Duration = 2.578 | MSE = 1273.8662
New optimal MSE: 1273.8662

Running polya filter for radius = 1, bins = 32, delta = 160.
Initial MSE: 2859.1724
Iteration 1 of 50 | Duration = 3.342 | MSE = 1808.3350
Iteration 2 of 50 | Duration = 3.377 | MSE = 1687.6860
Iteration 3 of 50 | Duration = 2.736 | MSE = 1512.9709
Iteration 4 of 50 | Duration = 2.763 | MSE = 1491.2076
Iteration 5 of 50 | Duration = 2.867 | MSE = 1463.2415
Iteration 6 of 50 | Duration = 2.857 | MSE = 1429.5340
Iteration 7 of 50 | Duration = 2.726 | MSE = 1390.0701
Iteration 8 of 50 | Duration = 2.555 | MSE = 1384.2897
