Log Started on 09-Mar-2018

Adding Noise
Optimizing for pentagon_speckle_high_optimal
Running polya filter for radius = 1, bins = 32, delta = 20.
Initial MSE: 2829.6254
Iteration 20 of 50 | Duration = 2.806 | MSE = 718.8494
New optimal MSE: 718.8494

Running polya filter for radius = 1, bins = 32, delta = 180.
Initial MSE: 2829.6254
Iteration 1 of 50 | Duration = 3.687 | MSE = 1283.0780
Iteration 2 of 50 | Duration = 4.442 | MSE = 1002.7921
Iteration 3 of 50 | Duration = 3.564 | MSE = 843.5166
Iteration 4 of 50 | Duration = 2.988 | MSE = 800.4409
Iteration 5 of 50 | Duration = 2.916 | MSE = 780.4380
Iteration 6 of 50 | Duration = 2.771 | MSE = 765.3816
Iteration 7 of 50 | Duration = 2.927 | MSE = 749.3313
Iteration 8 of 50 | Duration = 3.051 | MSE = 742.8904
Iteration 9 of 50 | Duration = 3.155 | MSE = 737.7602
Iteration 10 of 50 | Duration = 3.092 | MSE = 734.3259
Iteration 11 of 50 | Duration = 2.719 | MSE = 730.0636
Iteration 12 of 50 | Duration = 2.630 | MSE = 728.2341
Iteration 13 of 50 | Duration = 2.839 | MSE = 726.4023
Iteration 14 of 50 | Duration = 2.978 | MSE = 724.4445
Iteration 15 of 50 | Duration = 3.012 | MSE = 722.1049
Iteration 16 of 50 | Duration = 3.183 | MSE = 721.2457
Iteration 17 of 50 | Duration = 3.394 | MSE = 720.5900
Iteration 18 of 50 | Duration = 3.120 | MSE = 719.8821
Iteration 19 of 50 | Duration = 2.838 | MSE = 719.0917
Iteration 20 of 50 | Duration = 2.704 | MSE = 718.6896
New optimal MSE: 718.6896

Running polya filter for radius = 1, bins = 32, delta = 200.
Initial MSE: 2829.6254
Iteration 1 of 50 | Duration = 3.651 | MSE = 1283.0780
Iteration 2 of 50 | Duration = 4.511 | MSE = 1002.7870
Iteration 3 of 50 | Duration = 3.522 | MSE = 843.5074
Iteration 4 of 50 | Duration = 3.432 | MSE = 800.4419
Iteration 5 of 50 | Duration = 3.261 | MSE = 780.4380
Iteration 6 of 50 | Duration = 3.134 | MSE = 765.3810
Iteration 7 of 50 | Duration = 2.769 | MSE = 749.3297
Iteration 8 of 50 | Duration = 2.780 | MSE = 742.8884
Iteration 9 of 50 | Duration = 2.998 | MSE = 737.7582
Iteration 10 of 50 | Duration = 3.015 | MSE = 734.3239
Iteration 11 of 50 | Duration = 3.342 | MSE = 730.0632
Iteration 12 of 50 | Duration = 2.885 | MSE = 728.2333
Iteration 13 of 50 | Duration = 2.932 | MSE = 726.4015
Iteration 14 of 50 | Duration = 2.625 | MSE = 724.4451
Iteration 15 of 50 | Duration = 2.964 | MSE = 722.1050
Iteration 16 of 50 | Duration = 3.268 | MSE = 721.2458
Iteration 17 of 50 | Duration = 3.171 | MSE = 720.5901
Iteration 18 of 50 | Duration = 3.239 | MSE = 719.8822
Iteration 19 of 50 | Duration = 2.979 | MSE = 719.0918
Iteration 20 of 50 | Duration = 2.862 | MSE = 718.6896

Running polya filter for radius = 1, bins = 64, delta = 20.
Initial MSE: 2829.6254
Iteration 1 of 50 | Duration = 5.564 | MSE = 2813.2101
Iteration 2 of 50 | Duration = 4.527 | MSE = 2813.2101
Iteration 3 of 50 | Duration = 4.337 | MSE = 2813.2101

Running polya filter for radius = 1, bins = 64, delta = 40.
Initial MSE: 2829.6254
Iteration 1 of 50 | Duration = 6.188 | MSE = 2813.2101
Iteration 2 of 50 | Duration = 5.050 | MSE = 2813.2101
Iteration 3 of 50 | Duration = 4.653 | MSE = 1518.3237
Iteration 4 of 50 | Duration = 4.310 | MSE = 1245.5793
Iteration 5 of 50 | Duration = 4.325 | MSE = 1202.7804
Iteration 6 of 50 | Duration = 5.235 | MSE = 952.1075
Iteration 7 of 50 | Duration = 4.961 | MSE = 880.6264
Iteration 8 of 50 | Duration = 4.914 | MSE = 864.9519
Iteration 9 of 50 | Duration = 4.710 | MSE = 823.7093
Iteration 10 of 50 | Duration = 4.305 | MSE = 818.4376
Iteration 11 of 50 | Duration = 4.628 | MSE = 811.9418
Iteration 12 of 50 | Duration = 4.836 | MSE = 808.9726
Iteration 13 of 50 | Duration = 4.667 | MSE = 800.2443
Iteration 14 of 50 | Duration = 4.431 | MSE = 790.2991
Iteration 15 of 50 | Duration = 4.353 | MSE = 780.8259
Iteration 16 of 50 | Duration = 4.914 | MSE = 775.9523
Iteration 17 of 50 | Duration = 5.341 | MSE = 771.8958
Iteration 18 of 50 | Duration = 4.895 | MSE = 764.0250
Iteration 19 of 50 | Duration = 4.580 | MSE = 758.5304
Iteration 20 of 50 | Duration = 4.296 | MSE = 757.2176
Iteration 21 of 50 | Duration = 4.523 | MSE = 751.0245
Iteration 22 of 50 | Duration = 4.471 | MSE = 749.5696
Iteration 23 of 50 | Duration = 5.361 | MSE = 747.4853
Iteration 24 of 50 | Duration = 4.892 | MSE = 746.0724
Iteration 25 of 50 | Duration = 4.434 | MSE = 744.2110
Iteration 26 of 50 | Duration = 4.068 | MSE = 742.9891
Iteration 27 of 50 | Duration = 4.729 | MSE = 741.6589
Iteration 28 of 50 | Duration = 4.974 | MSE = 740.9871
Iteration 29 of 50 | Duration = 4.461 | MSE = 739.9374
Iteration 30 of 50 | Duration = 4.217 | MSE = 738.7104
Iteration 31 of 50 | Duration = 4.532 | MSE = 737.3841
Iteration 32 of 50 | Duration = 5.160 | MSE = 736.9649

Running polya filter for radius = 1, bins = 64, delta = 60.
Initial MSE: 2829.6254
Iteration 1 of 50 | Duration = 6.435 | MSE = 2813.2101
Iteration 2 of 50 | Duration = 4.239 | MSE = 1518.3237
Iteration 3 of 50 | Duration = 4.318 | MSE = 1238.1847
Iteration 4 of 50 | Duration = 5.045 | MSE = 951.7415
Iteration 5 of 50 | Duration = 5.182 | MSE = 868.1918
Iteration 6 of 50 | Duration = 5.368 | MSE = 824.4165
Iteration 7 of 50 | Duration = 4.519 | MSE = 817.9152
Iteration 8 of 50 | Duration = 4.276 | MSE = 808.2856
Iteration 9 of 50 | Duration = 4.258 | MSE = 797.9902
Iteration 10 of 50 | Duration = 5.031 | MSE = 783.9310
Iteration 11 of 50 | Duration = 4.896 | MSE = 775.6279
Iteration 12 of 50 | Duration = 4.408 | MSE = 765.1897
Iteration 13 of 50 | Duration = 4.428 | MSE = 759.2473
Iteration 14 of 50 | Duration = 4.842 | MSE = 751.6256
Iteration 15 of 50 | Duration = 5.040 | MSE = 749.3068
Iteration 16 of 50 | Duration = 4.656 | MSE = 746.2468
Iteration 17 of 50 | Duration = 4.326 | MSE = 744.4022
Iteration 18 of 50 | Duration = 4.198 | MSE = 741.9612
Iteration 19 of 50 | Duration = 4.432 | MSE = 740.6488
Iteration 20 of 50 | Duration = 4.497 | MSE = 738.7808
Iteration 21 of 50 | Duration = 4.923 | MSE = 737.6469
Iteration 22 of 50 | Duration = 4.973 | MSE = 735.5921
Iteration 23 of 50 | Duration = 4.451 | MSE = 734.6771
Iteration 24 of 50 | Duration = 4.601 | MSE = 733.9282
