Log Started on 10-Mar-2018

Adding Noise
Optimizing for lena512_speckle_and_gauss_markov_high_optimal
Running polya filter for radius = 1, bins = 32, delta = 20.
Initial MSE: 2648.9759
Iteration 5 of 50 | Duration = 0.983 | MSE = 1435.2561
Iteration 6 of 50 | Duration = 1.060 | MSE = 1403.9592
Iteration 7 of 50 | Duration = 0.997 | MSE = 1362.7758
Iteration 8 of 50 | Duration = 0.932 | MSE = 1358.0361
Iteration 9 of 50 | Duration = 1.054 | MSE = 1353.9137
Iteration 10 of 50 | Duration = 0.942 | MSE = 1351.5465
Iteration 11 of 50 | Duration = 1.018 | MSE = 1341.9821
Iteration 12 of 50 | Duration = 0.994 | MSE = 1335.3146
Iteration 13 of 50 | Duration = 0.999 | MSE = 1326.2533
Iteration 14 of 50 | Duration = 0.967 | MSE = 1314.5885
Iteration 15 of 50 | Duration = 1.031 | MSE = 1295.6919
Iteration 16 of 50 | Duration = 0.945 | MSE = 1293.9168
Iteration 17 of 50 | Duration = 0.967 | MSE = 1292.2589
Iteration 18 of 50 | Duration = 1.021 | MSE = 1291.0968
Iteration 19 of 50 | Duration = 0.971 | MSE = 1289.6024
Iteration 20 of 50 | Duration = 0.985 | MSE = 1289.0180
Iteration 21 of 50 | Duration = 1.006 | MSE = 1288.1541
Iteration 22 of 50 | Duration = 0.994 | MSE = 1287.1876
Iteration 23 of 50 | Duration = 0.940 | MSE = 1283.0891
Iteration 24 of 50 | Duration = 1.061 | MSE = 1279.8501
Iteration 25 of 50 | Duration = 0.933 | MSE = 1278.9073
Iteration 26 of 50 | Duration = 0.990 | MSE = 1277.5853
Iteration 27 of 50 | Duration = 1.002 | MSE = 1274.3727
Iteration 28 of 50 | Duration = 0.984 | MSE = 1271.5310
Iteration 29 of 50 | Duration = 0.932 | MSE = 1268.4162
Iteration 30 of 50 | Duration = 1.102 | MSE = 1262.1995
Iteration 31 of 50 | Duration = 0.919 | MSE = 1251.2667
Iteration 32 of 50 | Duration = 1.024 | MSE = 1250.3283
Iteration 33 of 50 | Duration = 0.988 | MSE = 1249.7599
Iteration 34 of 50 | Duration = 0.974 | MSE = 1249.3293

Running polya filter for radius = 1, bins = 32, delta = 200.
Initial MSE: 2648.9759
