Log Started on 08-Mar-2018

Adding Noise
Optimizing for goldengate_speckle_and_gauss_markov_high_optimal
Running polya filter for radius = 1, bins = 32, delta = 20.
Initial MSE: 2763.9872
Iteration 30 of 50 | Duration = 0.880 | MSE = 1333.8022
Iteration 31 of 50 | Duration = 0.908 | MSE = 1329.2754
Iteration 32 of 50 | Duration = 0.824 | MSE = 1328.2057
Iteration 33 of 50 | Duration = 0.797 | MSE = 1327.6350
Iteration 34 of 50 | Duration = 0.849 | MSE = 1327.1173
Iteration 35 of 50 | Duration = 0.882 | MSE = 1326.2801
Iteration 36 of 50 | Duration = 0.839 | MSE = 1325.9172
New optimal MSE: 1325.9172

Running polya filter for radius = 1, bins = 32, delta = 120.
Initial MSE: 2763.9872
Iteration 1 of 50 | Duration = 0.970 | MSE = 1813.0571
Iteration 2 of 50 | Duration = 1.030 | MSE = 1711.2382
Iteration 3 of 50 | Duration = 0.829 | MSE = 1538.2175
Iteration 4 of 50 | Duration = 0.893 | MSE = 1529.4557
Iteration 5 of 50 | Duration = 0.958 | MSE = 1500.0892
Iteration 6 of 50 | Duration = 0.932 | MSE = 1462.1578
Iteration 7 of 50 | Duration = 0.835 | MSE = 1419.5794
Iteration 8 of 50 | Duration = 0.854 | MSE = 1416.2181
Iteration 9 of 50 | Duration = 0.833 | MSE = 1412.7136
Iteration 10 of 50 | Duration = 0.936 | MSE = 1409.5363
Iteration 11 of 50 | Duration = 0.967 | MSE = 1398.6065
Iteration 12 of 50 | Duration = 0.864 | MSE = 1391.0140
Iteration 13 of 50 | Duration = 0.907 | MSE = 1380.8999
Iteration 14 of 50 | Duration = 0.801 | MSE = 1366.4429
Iteration 15 of 50 | Duration = 0.849 | MSE = 1345.8544
Iteration 16 of 50 | Duration = 0.877 | MSE = 1344.6169
Iteration 17 of 50 | Duration = 0.962 | MSE = 1343.2706
Iteration 18 of 50 | Duration = 0.815 | MSE = 1341.9425
Iteration 19 of 50 | Duration = 0.832 | MSE = 1340.6612
Iteration 20 of 50 | Duration = 0.856 | MSE = 1339.8971
Iteration 21 of 50 | Duration = 0.874 | MSE = 1338.9893
Iteration 22 of 50 | Duration = 0.889 | MSE = 1337.6418
Iteration 23 of 50 | Duration = 0.856 | MSE = 1332.4963
Iteration 24 of 50 | Duration = 0.784 | MSE = 1328.6021
Iteration 25 of 50 | Duration = 0.859 | MSE = 1327.3796
Iteration 26 of 50 | Duration = 0.837 | MSE = 1325.4657
Iteration 27 of 50 | Duration = 0.822 | MSE = 1321.7945
Iteration 28 of 50 | Duration = 0.892 | MSE = 1318.4895
Iteration 29 of 50 | Duration = 0.921 | MSE = 1314.2858
Iteration 30 of 50 | Duration = 0.819 | MSE = 1306.4551
Iteration 31 of 50 | Duration = 0.836 | MSE = 1295.4243
Iteration 32 of 50 | Duration = 0.917 | MSE = 1294.7536
Iteration 33 of 50 | Duration = 0.838 | MSE = 1294.2537
New optimal MSE: 1294.2537

Running polya filter for radius = 1, bins = 32, delta = 140.
Initial MSE: 2763.9872
Iteration 1 of 50 | Duration = 1.085 | MSE = 1813.0571
Iteration 2 of 50 | Duration = 1.011 | MSE = 1711.2382
Iteration 3 of 50 | Duration = 0.841 | MSE = 1538.2255
Iteration 4 of 50 | Duration = 0.806 | MSE = 1529.4267
Iteration 5 of 50 | Duration = 0.923 | MSE = 1500.0926
Iteration 6 of 50 | Duration = 0.889 | MSE = 1462.1545
Iteration 7 of 50 | Duration = 0.874 | MSE = 1419.5795
Iteration 8 of 50 | Duration = 0.842 | MSE = 1416.1983
Iteration 9 of 50 | Duration = 0.864 | MSE = 1412.6705
Iteration 10 of 50 | Duration = 0.861 | MSE = 1409.5097
Iteration 11 of 50 | Duration = 0.909 | MSE = 1398.5720
Iteration 12 of 50 | Duration = 0.873 | MSE = 1390.9730
Iteration 13 of 50 | Duration = 0.888 | MSE = 1380.8788
Iteration 14 of 50 | Duration = 0.824 | MSE = 1366.4266
Iteration 15 of 50 | Duration = 0.815 | MSE = 1345.8343
Iteration 16 of 50 | Duration = 0.854 | MSE = 1344.5991
Iteration 17 of 50 | Duration = 0.883 | MSE = 1343.2409
Iteration 18 of 50 | Duration = 0.951 | MSE = 1341.9125
Iteration 19 of 50 | Duration = 0.813 | MSE = 1340.6482
Iteration 20 of 50 | Duration = 0.838 | MSE = 1339.8834
Iteration 21 of 50 | Duration = 0.803 | MSE = 1338.9628
Iteration 22 of 50 | Duration = 0.803 | MSE = 1337.6034
Iteration 23 of 50 | Duration = 0.955 | MSE = 1332.4486
Iteration 24 of 50 | Duration = 0.905 | MSE = 1328.5564
Iteration 25 of 50 | Duration = 0.838 | MSE = 1327.3440
Iteration 26 of 50 | Duration = 0.753 | MSE = 1325.4385
Iteration 27 of 50 | Duration = 0.808 | MSE = 1321.7691
Iteration 28 of 50 | Duration = 0.803 | MSE = 1318.4718
Iteration 29 of 50 | Duration = 0.937 | MSE = 1314.2778
Iteration 30 of 50 | Duration = 1.020 | MSE = 1306.4485
Iteration 31 of 50 | Duration = 0.825 | MSE = 1295.4102
Iteration 32 of 50 | Duration = 0.837 | MSE = 1294.7363
Iteration 33 of 50 | Duration = 0.816 | MSE = 1294.2321
Iteration 34 of 50 | Duration = 0.877 | MSE = 1293.6590
Iteration 35 of 50 | Duration = 0.885 | MSE = 1293.0532
Iteration 36 of 50 | Duration = 0.980 | MSE = 1292.5665
New optimal MSE: 1292.5665

Running polya filter for radius = 1, bins = 32, delta = 160.
Initial MSE: 2763.9872
Iteration 1 of 50 | Duration = 0.955 | MSE = 1813.0571
Iteration 2 of 50 | Duration = 1.003 | MSE = 1711.2382
Iteration 3 of 50 | Duration = 0.816 | MSE = 1541.6811
Iteration 4 of 50 | Duration = 0.845 | MSE = 1524.0274
